id,code,description,percentage
peb_catag_1,010,RESIDUOS SUBPRODUCTOS DESECHOS RECORTES Y DESPERDICIOS,15
peb_catag_2,001,AZÚCAR Y MELAZA DE CAÑA,10
peb_catag_3,003,ALCOHOL ETÍLICO,10
peb_catag_4,004,RECURSOS HIDROBIOLÓGICOS,4
peb_catag_5,005,MAÍZ AMARILLO DURO,4
peb_catag_6,007,CAÑA DE AZÚCAR,10
peb_catag_7,008,MADERA,4
peb_catag_8,009,ARENA Y PIEDRA.,10
peb_catag_9,012,INTERMEDIACIÓN LABORAL Y TERCERIZACION,10
peb_catag_10,014,CARNES Y DESPOJOS COMESTIBLES,4
peb_catag_11,017,HARINA POLVO Y “PELLETS” DE PESCADO CRUSTACEOS MOLUSCOS Y DEMAS INVERTEBRADOS ACUATICOS,4
peb_catag_12,019,ARRENDAMIENTO DE BIENES,10
peb_catag_13,020,MANTENIMIENTO Y REPARACIÓN DE BIENES MUEBLES,12
peb_catag_14,021,MOVIMIENTO DE CARGA,10
peb_catag_15,022,OTROS SERVICIOS EMPRESARIALES,12
peb_catag_16,024,COMISION MERCANTIL,10
peb_catag_17,025,FABRICACION DE BIENES POR ENCARGO,10
peb_catag_18,026,SERVICIO DE TRANSPORTE DE PERSONAS,10
peb_catag_19,027,SERVICIO DE TRANSPORTE DE BIENES,4
peb_catag_20,030,CONTRATOS DE CONSTRUCCIÓN,4
peb_catag_21,031,ORO GRAVADO CON EL IGV,10
peb_catag_22,034,MINERALES METALICOS NO AURIFEROS,10
peb_catag_23,035,BIENES EXONERADOS DEL IGV,1.5
peb_catag_24,036,ORO Y DEMAS MINERALES METALICOS EXONERADOS DEL IGV,1.5
peb_catag_25,039,MINERALES NO METALICOS,10